2026-01-21 16:21:04 | INFO     | BelgeOlusturucu |   [4/4] Ekleniyor: SARTLAR.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | Birleştirilmiş belge kaydedildi: DENEME-210126-IBFOIM-R00__MERGED.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Belgeler birleştirildi: DENEME-210126-IBFOIM-R00__MERGED.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ADIM 6: SON GLOBAL PLACEHOLDER'LAR UYGULANIYOR
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | Global placeholder'lar uygulanıyor: DENEME-210126-IBFOIM-R00__MERGED.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | 12 paragrafta placeholder değiştirildi
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | Global placeholder'lar uygulandı: DENEME-210126-IBFOIM-R00.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Son belge kaydedildi: ciktilar/DENEME-210126-IBFOIM-R00.docx
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ADIM 7: SERİ NUMARASI FOOTER'A YAZILIYOR
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | Seri numarası footer'a yazıldı: SN:210126-DENEME-ÇANAKKALE-TÜRKIYE-LK-IBFOIM-R00 (1 konum)
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Seri numarası eklendi: SN:210126-DENEME-ÇANAKKALE-TÜRKIYE-LK-IBFOIM-R00
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ADIM 8: BELGE VERİLERİ ZTF DOSYASINA KAYDEDILIYOR
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | DEBUG    | BelgeOlusturucu | Belge bulunamadı: DENEME-210126-IBFOIM-R00
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Belge kaydedildi: DENEME-210126-IBFOIM-R00
2026-01-21 16:21:04 | DEBUG    | BelgeOlusturucu |   - Sıkıştırma: %41.1
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Belge SQLite'a kaydedildi: DENEME-210126-IBFOIM-R00
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ✓ Belge verileri ZTF dosyasına kaydedildi
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ADIM 9: CSV KAYDI EKLENİYOR
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | ============================================================
2026-01-21 16:21:04 | INFO     | BelgeOlusturucu | Fiyat tablosu: 5 ürün CSV'ye eklendi
